base_score,[522.04184863]
age,Score
"(-inf, 36.0]",-4.159255013177268
"(36.0, 54.0]",-2.236702145158066
"(54.0, 61.0]",1.9862829513628202
"(61.0, 74.0]",8.060808286104491
"(74.0, inf]",13.651987855383377
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.0991]",47.814580055243404
"(0.0991, 0.298]",14.474006867233962
"(0.298, 0.465]",-2.7398111597019983
"(0.465, 0.983]",-23.27487986954687
"(0.983, 1.0]",-10.170169979195476
"(1.0, inf]",-44.37597791272771
DebtRatio,Score
"(-inf, 0.0174]",33.528263999151555
"(0.0174, 0.402]",0.8094377770256218
"(0.402, 1.467]",-8.651640431257418
"(1.467, inf]",3.9288016694137884
MonthlyIncome,Score
"(-inf, 0.0953]",20.838087848952632
"(0.0953, 4600.0]",-3.9452315380487284
"(4600.0, inf]",2.3792589218740794
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 1.0]",-7.2564079677839
"(1.0, 3.0]",-2.78558962517044
"(3.0, 5.0]",-0.4941959562533835
"(5.0, 17.0]",1.0602629175260556
"(17.0, inf]",3.990312043482994
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",5.561455832085746
"(0.0, 1.0]",-13.765710764690175
"(1.0, 2.0]",-21.71532471962839
"(2.0, inf]",-24.32780042040613
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",3.8320700948747035
"(0.0, 1.0]",-28.612932036243077
"(1.0, 2.0]",-36.833687839044764
"(2.0, inf]",-39.322746067854055
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-10.65487388873616
"(0.0, 1.0]",5.259384014097932
"(1.0, 2.0]",16.729997675992806
"(2.0, 4.0]",10.410577296628787
"(4.0, inf]",-7.892309257601666
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",0.9964098132443405
"(0.0, 1.0]",-11.104154509115666
"(1.0, 2.0]",-14.220809375141478
"(2.0, inf]",-14.409802425817224
NumberOfDependents,Score
"(-inf, 0.0]",14.576942201641929
"(0.0, 1.0]",-13.505349556066868
"(1.0, 2.0]",-12.322025627634831
"(2.0, inf]",-11.219642811794143
